# Semrush Top 1,000 Non-Overlapping Keyword Bank
# Purpose: Separate broad-market keyword bank, intentionally unrelated to the uploaded LeadForge project industries.
# Source basis: Live Semrush connector samples from overview_rank and domain_adwords reports in AU database.
# Important: Exact Semrush-returned seed keywords are expanded with broad-market search/paid modifiers; all entries are deduped against leadforge_10000_semrush_keyword_bank.txt.
# Count: 1,000 unique keywords. No normalized keyword overlap with the previous 10,000-keyword file.
# Format: [ID] Source Family | Keyword | Semrush Basis | Note


## SEMRUSH SOURCE FAMILY: BOOKING_TRAVEL_CAR_HIRE
[0398] BOOKING_TRAVEL_CAR_HIRE | flights | Basis: flights | Exact keyword returned by Semrush paid/top-domain sample.
[0399] BOOKING_TRAVEL_CAR_HIRE | booking | Basis: booking | Exact keyword returned by Semrush paid/top-domain sample.
[0400] BOOKING_TRAVEL_CAR_HIRE | accommodation | Basis: accommodation | Exact keyword returned by Semrush paid/top-domain sample.
[0401] BOOKING_TRAVEL_CAR_HIRE | flight centre | Basis: flight centre | Exact keyword returned by Semrush paid/top-domain sample.
[0402] BOOKING_TRAVEL_CAR_HIRE | car rental | Basis: car rental | Exact keyword returned by Semrush paid/top-domain sample.
[0403] BOOKING_TRAVEL_CAR_HIRE | booking.com | Basis: booking.com | Exact keyword returned by Semrush paid/top-domain sample.
[0404] BOOKING_TRAVEL_CAR_HIRE | car hire | Basis: car hire | Exact keyword returned by Semrush paid/top-domain sample.
[0405] BOOKING_TRAVEL_CAR_HIRE | cheap flights | Basis: cheap flights | Exact keyword returned by Semrush paid/top-domain sample.
[0406] BOOKING_TRAVEL_CAR_HIRE | booking.com login | Basis: booking.com login | Exact keyword returned by Semrush paid/top-domain sample.
[0407] BOOKING_TRAVEL_CAR_HIRE | gold coast accommodation | Basis: gold coast accommodation | Exact keyword returned by Semrush paid/top-domain sample.
[0408] BOOKING_TRAVEL_CAR_HIRE | jetstar flights | Basis: jetstar flights | Exact keyword returned by Semrush paid/top-domain sample.
[0409] BOOKING_TRAVEL_CAR_HIRE | car hire brisbane airport | Basis: car hire brisbane airport | Exact keyword returned by Semrush paid/top-domain sample.
[0410] BOOKING_TRAVEL_CAR_HIRE | kyoto | Basis: kyoto | Exact keyword returned by Semrush paid/top-domain sample.
[0411] BOOKING_TRAVEL_CAR_HIRE | melbourne hotels | Basis: melbourne hotels | Exact keyword returned by Semrush paid/top-domain sample.
[0412] BOOKING_TRAVEL_CAR_HIRE | car hire melbourne airport | Basis: car hire melbourne airport | Exact keyword returned by Semrush paid/top-domain sample.
[0413] BOOKING_TRAVEL_CAR_HIRE | sydney accommodation | Basis: sydney accommodation | Exact keyword returned by Semrush paid/top-domain sample.
[0414] BOOKING_TRAVEL_CAR_HIRE | bookings | Basis: bookings | Exact keyword returned by Semrush paid/top-domain sample.
[0415] BOOKING_TRAVEL_CAR_HIRE | accommodation melbourne | Basis: accommodation melbourne | Exact keyword returned by Semrush paid/top-domain sample.
[0416] BOOKING_TRAVEL_CAR_HIRE | milford sound cruise | Basis: milford sound cruise | Exact keyword returned by Semrush paid/top-domain sample.
[0417] BOOKING_TRAVEL_CAR_HIRE | car hire cairns | Basis: car hire cairns | Exact keyword returned by Semrush paid/top-domain sample.
[0418] BOOKING_TRAVEL_CAR_HIRE | book | Basis: book | Exact keyword returned by Semrush paid/top-domain sample.
[0419] BOOKING_TRAVEL_CAR_HIRE | flights australia | Basis: flights | Semrush seed plus broad-market commercial/search modifier.
[0420] BOOKING_TRAVEL_CAR_HIRE | flights cheap | Basis: flights | Semrush seed plus broad-market commercial/search modifier.
[0421] BOOKING_TRAVEL_CAR_HIRE | flights deals | Basis: flights | Semrush seed plus broad-market commercial/search modifier.
[0422] BOOKING_TRAVEL_CAR_HIRE | flights last minute | Basis: flights | Semrush seed plus broad-market commercial/search modifier.
[0423] BOOKING_TRAVEL_CAR_HIRE | flights booking | Basis: flights | Semrush seed plus broad-market commercial/search modifier.
[0424] BOOKING_TRAVEL_CAR_HIRE | flights online | Basis: flights | Semrush seed plus broad-market commercial/search modifier.
[0425] BOOKING_TRAVEL_CAR_HIRE | flights comparison | Basis: flights | Semrush seed plus broad-market commercial/search modifier.
[0426] BOOKING_TRAVEL_CAR_HIRE | flights near airport | Basis: flights | Semrush seed plus broad-market commercial/search modifier.
[0427] BOOKING_TRAVEL_CAR_HIRE | flights discount | Basis: flights | Semrush seed plus broad-market commercial/search modifier.
[0428] BOOKING_TRAVEL_CAR_HIRE | flights voucher | Basis: flights | Semrush seed plus broad-market commercial/search modifier.
[0429] BOOKING_TRAVEL_CAR_HIRE | flights family | Basis: flights | Semrush seed plus broad-market commercial/search modifier.
[0430] BOOKING_TRAVEL_CAR_HIRE | flights luxury | Basis: flights | Semrush seed plus broad-market commercial/search modifier.
[0431] BOOKING_TRAVEL_CAR_HIRE | flights budget | Basis: flights | Semrush seed plus broad-market commercial/search modifier.
[0432] BOOKING_TRAVEL_CAR_HIRE | flights weekend | Basis: flights | Semrush seed plus broad-market commercial/search modifier.
[0433] BOOKING_TRAVEL_CAR_HIRE | flights packages | Basis: flights | Semrush seed plus broad-market commercial/search modifier.
[0434] BOOKING_TRAVEL_CAR_HIRE | flights with flights | Basis: flights | Semrush seed plus broad-market commercial/search modifier.
[0435] BOOKING_TRAVEL_CAR_HIRE | flights all inclusive | Basis: flights | Semrush seed plus broad-market commercial/search modifier.
[0436] BOOKING_TRAVEL_CAR_HIRE | flights airport pickup | Basis: flights | Semrush seed plus broad-market commercial/search modifier.
[0437] BOOKING_TRAVEL_CAR_HIRE | flights one way | Basis: flights | Semrush seed plus broad-market commercial/search modifier.
[0438] BOOKING_TRAVEL_CAR_HIRE | flights unlimited km | Basis: flights | Semrush seed plus broad-market commercial/search modifier.
[0439] BOOKING_TRAVEL_CAR_HIRE | flights refundable | Basis: flights | Semrush seed plus broad-market commercial/search modifier.
[0440] BOOKING_TRAVEL_CAR_HIRE | flights today | Basis: flights | Semrush seed plus broad-market commercial/search modifier.
[0441] BOOKING_TRAVEL_CAR_HIRE | flights tonight | Basis: flights | Semrush seed plus broad-market commercial/search modifier.
[0442] BOOKING_TRAVEL_CAR_HIRE | booking australia | Basis: booking | Semrush seed plus broad-market commercial/search modifier.
[0443] BOOKING_TRAVEL_CAR_HIRE | booking cheap | Basis: booking | Semrush seed plus broad-market commercial/search modifier.
[0444] BOOKING_TRAVEL_CAR_HIRE | booking deals | Basis: booking | Semrush seed plus broad-market commercial/search modifier.
[0445] BOOKING_TRAVEL_CAR_HIRE | booking last minute | Basis: booking | Semrush seed plus broad-market commercial/search modifier.
[0446] BOOKING_TRAVEL_CAR_HIRE | booking booking | Basis: booking | Semrush seed plus broad-market commercial/search modifier.
[0447] BOOKING_TRAVEL_CAR_HIRE | booking online | Basis: booking | Semrush seed plus broad-market commercial/search modifier.
[0448] BOOKING_TRAVEL_CAR_HIRE | booking comparison | Basis: booking | Semrush seed plus broad-market commercial/search modifier.
[0449] BOOKING_TRAVEL_CAR_HIRE | booking near airport | Basis: booking | Semrush seed plus broad-market commercial/search modifier.
[0450] BOOKING_TRAVEL_CAR_HIRE | booking discount | Basis: booking | Semrush seed plus broad-market commercial/search modifier.
[0451] BOOKING_TRAVEL_CAR_HIRE | booking voucher | Basis: booking | Semrush seed plus broad-market commercial/search modifier.
[0452] BOOKING_TRAVEL_CAR_HIRE | booking family | Basis: booking | Semrush seed plus broad-market commercial/search modifier.
[0453] BOOKING_TRAVEL_CAR_HIRE | booking luxury | Basis: booking | Semrush seed plus broad-market commercial/search modifier.
[0454] BOOKING_TRAVEL_CAR_HIRE | booking budget | Basis: booking | Semrush seed plus broad-market commercial/search modifier.
[0455] BOOKING_TRAVEL_CAR_HIRE | booking weekend | Basis: booking | Semrush seed plus broad-market commercial/search modifier.
[0456] BOOKING_TRAVEL_CAR_HIRE | booking packages | Basis: booking | Semrush seed plus broad-market commercial/search modifier.
[0457] BOOKING_TRAVEL_CAR_HIRE | booking with flights | Basis: booking | Semrush seed plus broad-market commercial/search modifier.
[0458] BOOKING_TRAVEL_CAR_HIRE | booking all inclusive | Basis: booking | Semrush seed plus broad-market commercial/search modifier.
[0459] BOOKING_TRAVEL_CAR_HIRE | booking airport pickup | Basis: booking | Semrush seed plus broad-market commercial/search modifier.
[0460] BOOKING_TRAVEL_CAR_HIRE | booking one way | Basis: booking | Semrush seed plus broad-market commercial/search modifier.
[0461] BOOKING_TRAVEL_CAR_HIRE | booking unlimited km | Basis: booking | Semrush seed plus broad-market commercial/search modifier.
[0462] BOOKING_TRAVEL_CAR_HIRE | booking refundable | Basis: booking | Semrush seed plus broad-market commercial/search modifier.
[0463] BOOKING_TRAVEL_CAR_HIRE | booking today | Basis: booking | Semrush seed plus broad-market commercial/search modifier.
