# LeadForge 10,000 Keyword Bank — Semrush-informed AU lead generation reservoir
# Generated for LeadForge V5 pipeline: Tier 1 -> Tier 2 -> Tier 3 fallback consumption.
# Live Semrush connector validation sampled high-CPC/high-volume AU phrases including plumber near me, emergency plumber, electrician near me, dentist near me, family lawyer, seo agency, google ads agency, pest control near me, accountant near me.
# IMPORTANT: Not every keyword below was individually charged/validated through Semrush; the bank combines Semrush-validated seed patterns, commercial intent modifiers, local city/suburb modifiers, and industry service expansions.
# Format: [00001] Industry | Tier | Keyword | Comment


## INDUSTRY: Plumber
[00001] Plumber | TIER_1 | plumber | core service seed
[00002] Plumber | TIER_1 | plumber near me | high commercial/paid-search intent
[00003] Plumber | TIER_1 | best plumber | high commercial/paid-search intent
[00004] Plumber | TIER_1 | plumber company | high commercial/paid-search intent
[00005] Plumber | TIER_1 | plumber services | high commercial/paid-search intent
[00006] Plumber | TIER_1 | commercial plumber | high commercial/paid-search intent
[00007] Plumber | TIER_1 | emergency plumber | high commercial/paid-search intent
[00008] Plumber | TIER_1 | plumber quote | high commercial/paid-search intent
[00009] Plumber | TIER_1 | plumber cost | high commercial/paid-search intent
[00010] Plumber | TIER_1 | plumber sydney | local BOFU advertiser discovery
[00011] Plumber | TIER_1 | sydney plumber | local BOFU advertiser discovery
[00012] Plumber | TIER_1 | best plumber sydney | local BOFU advertiser discovery
[00013] Plumber | TIER_1 | plumber melbourne | local BOFU advertiser discovery
[00014] Plumber | TIER_1 | melbourne plumber | local BOFU advertiser discovery
[00015] Plumber | TIER_1 | best plumber melbourne | local BOFU advertiser discovery
[00016] Plumber | TIER_1 | plumber brisbane | local BOFU advertiser discovery
[00017] Plumber | TIER_1 | brisbane plumber | local BOFU advertiser discovery
[00018] Plumber | TIER_1 | best plumber brisbane | local BOFU advertiser discovery
[00019] Plumber | TIER_1 | plumber perth | local BOFU advertiser discovery
[00020] Plumber | TIER_1 | perth plumber | local BOFU advertiser discovery
[00021] Plumber | TIER_1 | best plumber perth | local BOFU advertiser discovery
[00022] Plumber | TIER_1 | plumber adelaide | local BOFU advertiser discovery
[00023] Plumber | TIER_1 | adelaide plumber | local BOFU advertiser discovery
[00024] Plumber | TIER_1 | best plumber adelaide | local BOFU advertiser discovery
[00025] Plumber | TIER_1 | plumber gold coast | local BOFU advertiser discovery
[00026] Plumber | TIER_1 | gold coast plumber | local BOFU advertiser discovery
[00027] Plumber | TIER_1 | best plumber gold coast | local BOFU advertiser discovery
[00028] Plumber | TIER_1 | plumber canberra | local BOFU advertiser discovery
[00029] Plumber | TIER_1 | canberra plumber | local BOFU advertiser discovery
[00030] Plumber | TIER_1 | best plumber canberra | local BOFU advertiser discovery
[00031] Plumber | TIER_1 | plumber newcastle | local BOFU advertiser discovery
[00032] Plumber | TIER_1 | newcastle plumber | local BOFU advertiser discovery
[00033] Plumber | TIER_1 | best plumber newcastle | local BOFU advertiser discovery
[00034] Plumber | TIER_1 | plumbing service | core service seed
[00035] Plumber | TIER_1 | plumbing service near me | high commercial/paid-search intent
[00036] Plumber | TIER_1 | best plumbing service | high commercial/paid-search intent
[00037] Plumber | TIER_1 | plumbing service company | high commercial/paid-search intent
[00038] Plumber | TIER_1 | plumbing service services | high commercial/paid-search intent
[00039] Plumber | TIER_1 | commercial plumbing service | high commercial/paid-search intent
[00040] Plumber | TIER_1 | emergency plumbing service | high commercial/paid-search intent
[00041] Plumber | TIER_1 | plumbing service quote | high commercial/paid-search intent
[00042] Plumber | TIER_1 | plumbing service cost | high commercial/paid-search intent
[00043] Plumber | TIER_1 | plumbing service sydney | local BOFU advertiser discovery
[00044] Plumber | TIER_1 | sydney plumbing service | local BOFU advertiser discovery
[00045] Plumber | TIER_1 | best plumbing service sydney | local BOFU advertiser discovery
[00046] Plumber | TIER_1 | plumbing service melbourne | local BOFU advertiser discovery
[00047] Plumber | TIER_1 | melbourne plumbing service | local BOFU advertiser discovery
[00048] Plumber | TIER_1 | best plumbing service melbourne | local BOFU advertiser discovery
[00049] Plumber | TIER_1 | plumbing service brisbane | local BOFU advertiser discovery
[00050] Plumber | TIER_1 | brisbane plumbing service | local BOFU advertiser discovery
[00051] Plumber | TIER_1 | best plumbing service brisbane | local BOFU advertiser discovery
[00052] Plumber | TIER_1 | plumbing service perth | local BOFU advertiser discovery
[00053] Plumber | TIER_1 | perth plumbing service | local BOFU advertiser discovery
[00054] Plumber | TIER_1 | best plumbing service perth | local BOFU advertiser discovery
[00055] Plumber | TIER_1 | plumbing service adelaide | local BOFU advertiser discovery
[00056] Plumber | TIER_1 | adelaide plumbing service | local BOFU advertiser discovery
[00057] Plumber | TIER_1 | best plumbing service adelaide | local BOFU advertiser discovery
[00058] Plumber | TIER_1 | plumbing service gold coast | local BOFU advertiser discovery
[00059] Plumber | TIER_1 | gold coast plumbing service | local BOFU advertiser discovery
[00060] Plumber | TIER_1 | best plumbing service gold coast | local BOFU advertiser discovery
[00061] Plumber | TIER_1 | plumbing service canberra | local BOFU advertiser discovery
[00062] Plumber | TIER_1 | canberra plumbing service | local BOFU advertiser discovery
[00063] Plumber | TIER_1 | best plumbing service canberra | local BOFU advertiser discovery
[00064] Plumber | TIER_1 | plumbing service newcastle | local BOFU advertiser discovery
[00065] Plumber | TIER_1 | newcastle plumbing service | local BOFU advertiser discovery
[00066] Plumber | TIER_1 | best plumbing service newcastle | local BOFU advertiser discovery
[00067] Plumber | TIER_1 | emergency plumber near me | high commercial/paid-search intent
[00068] Plumber | TIER_1 | best emergency plumber | high commercial/paid-search intent
[00069] Plumber | TIER_1 | emergency plumber company | high commercial/paid-search intent
[00070] Plumber | TIER_1 | emergency plumber services | high commercial/paid-search intent
[00071] Plumber | TIER_1 | commercial emergency plumber | high commercial/paid-search intent
[00072] Plumber | TIER_1 | emergency emergency plumber | high commercial/paid-search intent
[00073] Plumber | TIER_1 | emergency plumber quote | high commercial/paid-search intent
[00074] Plumber | TIER_1 | emergency plumber cost | high commercial/paid-search intent
[00075] Plumber | TIER_1 | emergency plumber sydney | local BOFU advertiser discovery
[00076] Plumber | TIER_1 | sydney emergency plumber | local BOFU advertiser discovery
[00077] Plumber | TIER_1 | best emergency plumber sydney | local BOFU advertiser discovery
[00078] Plumber | TIER_1 | emergency plumber melbourne | local BOFU advertiser discovery
[00079] Plumber | TIER_1 | melbourne emergency plumber | local BOFU advertiser discovery
[00080] Plumber | TIER_1 | best emergency plumber melbourne | local BOFU advertiser discovery
[00081] Plumber | TIER_1 | emergency plumber brisbane | local BOFU advertiser discovery
[00082] Plumber | TIER_1 | brisbane emergency plumber | local BOFU advertiser discovery
[00083] Plumber | TIER_1 | best emergency plumber brisbane | local BOFU advertiser discovery
[00084] Plumber | TIER_1 | emergency plumber perth | local BOFU advertiser discovery
[00085] Plumber | TIER_1 | perth emergency plumber | local BOFU advertiser discovery
[00086] Plumber | TIER_1 | best emergency plumber perth | local BOFU advertiser discovery
[00087] Plumber | TIER_1 | emergency plumber adelaide | local BOFU advertiser discovery
[00088] Plumber | TIER_1 | adelaide emergency plumber | local BOFU advertiser discovery
[00089] Plumber | TIER_1 | best emergency plumber adelaide | local BOFU advertiser discovery
[00090] Plumber | TIER_1 | emergency plumber gold coast | local BOFU advertiser discovery
[00091] Plumber | TIER_1 | gold coast emergency plumber | local BOFU advertiser discovery
[00092] Plumber | TIER_1 | best emergency plumber gold coast | local BOFU advertiser discovery
[00093] Plumber | TIER_1 | emergency plumber canberra | local BOFU advertiser discovery
[00094] Plumber | TIER_1 | canberra emergency plumber | local BOFU advertiser discovery
[00095] Plumber | TIER_1 | best emergency plumber canberra | local BOFU advertiser discovery
